kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,x2,y2,stroke,stroke_width
line,Surface reconstruction,visible curve connection,87.5,visible path,884.13,678.55,,none,,raster_supported_connection,905.333,666.04,#2ba3ca,2
point,Surface reconstruction,visible curve marker,92.5,3.381605,926.537,652.592,7,#2ba3ca,0.8498,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,90.0,visible path,905.333,666.04,,none,,raster_supported_connection,926.537,652.592,#2ba3ca,2
point,Surface reconstruction,visible curve marker,95.0,3.399786,947.741,638.911,7,#2ba3ca,0.856,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,92.5,visible path,926.537,652.592,,none,,raster_supported_connection,947.741,638.911,#2ba3ca,2
point,Surface reconstruction,visible curve marker,97.5,3.418859,968.944,624.559,7,#2ba3ca,0.8099,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,95.0,visible path,947.741,638.911,,none,,raster_supported_connection,968.944,624.559,#2ba3ca,2
point,Surface reconstruction,visible curve marker,100.0,3.438373,990.148,609.874,7,#2ba3ca,0.8165,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,97.5,visible path,968.944,624.559,,none,,raster_supported_connection,990.148,609.874,#2ba3ca,2
point,Surface reconstruction,visible curve marker,102.5,3.457434,1011.352,595.531,7,#2ba3ca,0.8849,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,100.0,visible path,990.148,609.874,,none,,raster_supported_connection,1011.352,595.531,#2ba3ca,2
point,Surface reconstruction,visible curve marker,105.0,3.477486,1032.556,580.442,7,#2ba3ca,0.7265,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,102.5,visible path,1011.352,595.531,,none,,raster_supported_connection,1032.556,580.442,#2ba3ca,2
point,Surface reconstruction,visible curve marker,107.5,3.495117,1053.759,567.175,7,#2ba3ca,0.7336,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,105.0,visible path,1032.556,580.442,,none,,raster_supported_connection,1053.759,567.175,#2ba3ca,2
point,Surface reconstruction,visible curve marker,110.0,3.513796,1074.963,553.119,7,#2ba3ca,0.8233,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,107.5,visible path,1053.759,567.175,,none,,raster_supported_connection,1074.963,553.119,#2ba3ca,2
point,Surface reconstruction,visible curve marker,112.5,3.532439,1096.167,539.089,7,#2ba3ca,0.8129,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,110.0,visible path,1074.963,553.119,,none,,raster_supported_connection,1096.167,539.089,#2ba3ca,2
point,Surface reconstruction,visible curve marker,115.0,3.550016,1117.37,525.863,7,#2ba3ca,0.8622,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,112.5,visible path,1096.167,539.089,,none,,raster_supported_connection,1117.37,525.863,#2ba3ca,2
point,Surface reconstruction,visible curve marker,117.5,3.579523,1138.574,503.659,7,#2ba3ca,0.7813,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,115.0,visible path,1117.37,525.863,,none,,raster_supported_connection,1138.574,503.659,#2ba3ca,2
point,Surface reconstruction,visible curve marker,120.0,3.592469,1159.778,493.917,7,#2ba3ca,0.8786,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,117.5,visible path,1138.574,503.659,,none,,raster_supported_connection,1159.778,493.917,#2ba3ca,2
point,Surface reconstruction,visible curve marker,122.5,3.584555,1180.981,499.872,7,#2ba3ca,0.7347,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,120.0,visible path,1159.778,493.917,,none,,raster_supported_connection,1180.981,499.872,#2ba3ca,2
point,Surface reconstruction,visible curve marker,125.0,3.561735,1202.185,517.045,7,#2ba3ca,0.7,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,122.5,visible path,1180.981,499.872,,none,,raster_supported_connection,1202.185,517.045,#2ba3ca,2
point,Surface reconstruction,visible curve marker,127.5,3.541468,1223.389,532.295,7,#2ba3ca,0.7204,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,125.0,visible path,1202.185,517.045,,none,,raster_supported_connection,1223.389,532.295,#2ba3ca,2
point,Surface reconstruction,visible curve marker,130.0,3.525165,1244.593,544.563,7,#2ba3ca,0.701,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,127.5,visible path,1223.389,532.295,,none,,raster_supported_connection,1244.593,544.563,#2ba3ca,2
point,Surface reconstruction,visible curve marker,132.5,3.508433,1265.796,557.154,7,#2ba3ca,0.7005,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,130.0,visible path,1244.593,544.563,,none,,raster_supported_connection,1265.796,557.154,#2ba3ca,2
point,Surface reconstruction,visible curve marker,135.0,3.491604,1287.0,569.818,7,#2ba3ca,0.7003,calibrated_raster_trace,,,,
line,Surface reconstruction,visible curve connection,132.5,visible path,1265.796,557.154,,none,,raster_supported_connection,1287.0,569.818,#2ba3ca,2
point,Rigid,visible curve marker,0.0,3.341447,142.0,1023.5,7,#808080,0.857,calibrated_raster_trace,,,,
point,Rigid,visible curve marker,2.5,3.340789,163.204,1024.0,7,#808080,1.0,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,0.0,visible path,142.0,1023.5,,none,,raster_supported_connection,163.204,1024.0,#808080,2
point,Rigid,visible curve marker,5.0,3.329605,184.407,1032.5,7,#808080,1.0,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,2.5,visible path,163.204,1024.0,,none,,raster_supported_connection,184.407,1032.5,#808080,2
point,Rigid,visible curve marker,7.5,3.318421,205.611,1041.0,7,#808080,1.0,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,5.0,visible path,184.407,1032.5,,none,,raster_supported_connection,205.611,1041.0,#808080,2
point,Rigid,visible curve marker,10.0,3.307895,226.815,1049.0,7,#808080,1.0,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,7.5,visible path,205.611,1041.0,,none,,raster_supported_connection,226.815,1049.0,#808080,2
point,Rigid,visible curve marker,12.5,3.302632,248.019,1053.0,7,#808080,1.0,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,10.0,visible path,226.815,1049.0,,none,,raster_supported_connection,248.019,1053.0,#808080,2
point,Rigid,visible curve marker,15.0,3.298684,269.222,1056.0,7,#808080,0.286,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,12.5,visible path,248.019,1053.0,,none,,raster_supported_connection,269.222,1056.0,#808080,2
point,Rigid,visible curve marker,17.5,3.355263,290.426,1013.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,15.0,visible path,269.222,1056.0,,none,,raster_supported_connection,290.426,1013.0,#808080,2
point,Rigid,visible curve marker,20.0,3.355263,311.63,1013.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,17.5,visible path,290.426,1013.0,,none,,raster_supported_connection,311.63,1013.0,#808080,2
point,Rigid,visible curve marker,22.5,3.356579,332.833,1012.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,20.0,visible path,311.63,1013.0,,none,,raster_supported_connection,332.833,1012.0,#808080,2
point,Rigid,visible curve marker,25.0,3.355921,354.037,1012.5,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,22.5,visible path,332.833,1012.0,,none,,raster_supported_connection,354.037,1012.5,#808080,2
point,Rigid,visible curve marker,27.5,3.355921,375.241,1012.5,7,#808080,0.095,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,25.0,visible path,354.037,1012.5,,none,,raster_supported_connection,375.241,1012.5,#808080,2
point,Rigid,visible curve marker,30.0,3.356579,396.444,1012.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,27.5,visible path,375.241,1012.5,,none,,raster_supported_connection,396.444,1012.0,#808080,2
point,Rigid,visible curve marker,32.5,3.355263,417.648,1013.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,30.0,visible path,396.444,1012.0,,none,,raster_supported_connection,417.648,1013.0,#808080,2
point,Rigid,visible curve marker,35.0,3.355263,438.852,1013.0,7,#808080,0.048,calibrated_raster_trace,,,,
line,Rigid,visible curve connection,32.5,visible path,417.648,1013.0,,none,,raster_supported_connection,438.852,1013.0,#808080,2
